model,threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,f1_score,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,confusion_matrix,fold
Random Forest,0.18,0.5705128205128205,0.7607142857142857,0.1927710843373494,1.0,1.0,0.5214285714285715,0.32323232323232326,0.7879464285714286,0.20907545752308057,0.10799995373854887,73,67,0,16,"[[73, 67], [0, 16]]",10
Random Forest,0.18,0.6050955414012739,0.613918439716312,0.15151515151515152,0.625,0.625,0.6028368794326241,0.24390243902439024,0.6569148936170213,0.14798047995492355,0.12160321046064715,85,56,6,10,"[[85, 56], [6, 10]]",11
Random Forest,0.18,0.5095541401273885,0.6161347517730497,0.1411764705882353,0.75,0.75,0.48226950354609927,0.2376237623762376,0.7225177304964538,0.17788010377291202,0.1252752652975781,68,73,4,12,"[[68, 73], [4, 12]]",12
Random Forest,0.18,0.554140127388535,0.6686613475177305,0.1625,0.8125,0.8125,0.524822695035461,0.2708333333333333,0.7446808510638299,0.2627178196436049,0.12967081796741817,74,67,3,13,"[[74, 67], [3, 13]]",13
Random Forest,0.18,0.5477707006369427,0.6651152482269503,0.16049382716049382,0.8125,0.8125,0.5177304964539007,0.26804123711340205,0.6405141843971631,0.12980485347800075,0.13004582569210982,73,68,3,13,"[[73, 68], [3, 13]]",14
Random Forest,0.18,0.5128205128205128,0.6732142857142858,0.1590909090909091,0.875,0.875,0.4714285714285714,0.2692307692307692,0.703125,0.15783095423367977,0.1333281124632443,66,74,2,14,"[[66, 74], [2, 14]]",15
XGBoost,0.145,0.6178343949044586,0.5933067375886525,0.14516129032258066,0.5625,0.5625,0.624113475177305,0.23076923076923078,0.6462765957446809,0.13495421849822814,0.13229770958423615,88,53,7,9,"[[88, 53], [7, 9]]",1
XGBoost,0.145,0.7006369426751592,0.6117021276595744,0.1702127659574468,0.5,0.5,0.723404255319149,0.25396825396825395,0.6932624113475176,0.15768458046097106,0.10489564388990402,102,39,8,8,"[[102, 39], [8, 8]]",2
XGBoost,0.145,0.6942675159235668,0.7189716312056738,0.21428571428571427,0.75,0.75,0.6879432624113475,0.3333333333333333,0.761081560283688,0.24878386836852728,0.09742164611816406,97,44,4,12,"[[97, 44], [4, 12]]",3
XGBoost,0.145,0.6687898089171974,0.6216755319148937,0.16666666666666666,0.5625,0.5625,0.6808510638297872,0.2571428571428571,0.6750886524822695,0.16240623364665713,0.11607515066862106,96,45,7,9,"[[96, 45], [7, 9]]",4
XGBoost,0.145,0.7051282051282052,0.6973214285714286,0.21153846153846154,0.6875,0.6875,0.7071428571428572,0.3235294117647059,0.7397321428571428,0.19454103730551747,0.10106618702411652,99,41,5,11,"[[99, 41], [5, 11]]",5
XGBoost,0.145,0.6942675159235668,0.6358599290780143,0.18,0.5625,0.5625,0.7092198581560284,0.2727272727272727,0.7495567375886525,0.19241010374299453,0.11603515595197678,100,41,7,9,"[[100, 41], [7, 9]]",6
XGBoost,0.145,0.6687898089171974,0.6216755319148937,0.16666666666666666,0.5625,0.5625,0.6808510638297872,0.2571428571428571,0.7557624113475178,0.20427816807054353,0.10728078335523605,96,45,7,9,"[[96, 45], [7, 9]]",7
XGBoost,0.145,0.6496815286624203,0.5833333333333333,0.14545454545454545,0.5,0.5,0.6666666666666666,0.22535211267605634,0.6276595744680851,0.12822867989529657,0.13130946457386017,94,47,8,8,"[[94, 47], [8, 8]]",8
